ID,Product_Type,Raw_Material_Usage_kg,Energy_Consumption_kWh,Waste_Generated_kg,Transport_Distance_km,CO2_Emission_kg_per_unit,Manufacturing_Energy_kWh,Renewable_Energy_%,Cost_per_Unit,Delivery_Time_days,Sustainability_Score,CO2_Factor_per_USD,Ownership_Type,Certification,Packaging_Type,Locality
17,pharmaceutical,33.685909428620704,169.27089274625183,33.66342347328434,1209.955967576918,62.56737226002929,674.5943064841902,10.897515465742408,696.2956958241992,8,48.71,,Local Vendor,FairTrade,Recycled,International
18,food,184.95995769730075,59.42523246391077,8.972287446619728,3108.45450099364,536.1914337410067,297.0341117156436,65.68810743486537,2271.238975268684,8,68.63,,Local Vendor,None,Plastic,International
19,electronics,175.28030879180437,86.9772503643923,28.68918031018506,1339.0047794255447,780.970450450479,149.0480870048326,43.40024631923345,1303.6081801358364,4,44.19,,Local Vendor,GreenSeal,Recycled,Local
20,pharmaceutical,108.5792308539537,485.5370156802637,38.809718637951775,2930.3955962876707,938.055741618144,139.63789016429064,19.16167969875032,2676.5402169220324,6,20.56,,Corporate,ISO14001,Biodegradable,Local
21,apparel,122.34233279153656,182.95014986483912,25.44588756226116,1860.1228602151828,913.7420293961628,184.26470465387368,26.48961542161509,1416.7700156345138,14,32.82,,Minority-Owned,None,Compostable,International
22,food,85.81051373532475,396.1504165271601,1.5930527220292638,4135.405910397913,828.6436260702627,506.5380085300951,75.27527671681678,4714.579045294148,5,62.71,,Women-Owned,ISO14001,Compostable,International
23,pharmaceutical,20.404711376185958,331.0986059844187,1.4428849848853167,4121.411187757219,893.7817821782389,750.1343948438447,70.16520829374286,4548.53104604607,9,58.59,,Minority-Owned,FairTrade,Plastic,International
24,electronics,73.68747591272117,221.87283784380315,18.494437854530595,2439.0169507997666,239.25870154522264,447.72039960418914,59.68495351567808,2920.669304050237,8,69.43,,Local Vendor,FairTrade,Recycled,International
25,electronics,162.54215523362217,142.55926798799982,46.38350935315732,1819.0136357415763,319.9750809261423,690.061837719338,43.75576612361286,1901.2351615394537,2,49.92,,Local Vendor,GreenSeal,Recycled,Local
26,automotive,10.880084370874544,104.62388817173289,12.20516220057683,1876.5430031395636,324.5200986750056,412.1206339018655,46.422653833397,2029.5050337667308,12,64.53,,Minority-Owned,FairTrade,Plastic,International
27,automotive,73.3648426213174,326.75583561749,32.08382075471267,4048.001175774268,408.20123445161386,596.0084820374777,78.2671174698771,2176.890959093585,13,69.7,,Minority-Owned,FairTrade,Compostable,Local
28,apparel,85.65205178227923,398.58520128700457,11.881717663972708,1708.0794657082988,423.65463686592926,612.3109161005506,77.60393107190009,3692.380746247731,7,73.95,,Minority-Owned,None,Biodegradable,International
29,pharmaceutical,112.10516455820536,339.7569140935088,16.761829493317883,1124.3909311635457,567.3275584219417,221.77459413233703,25.0688332050084,2367.867178490422,7,44.07,,Local Vendor,ISO14001,Plastic,International
30,pharmaceutical,184.7725671184245,288.6359599621212,42.55406239047272,514.9728751890034,201.8857751981193,352.85124128306825,66.77731964137226,4312.303743228307,11,61.69,,Local Vendor,ISO14001,Biodegradable,International
31,automotive,75.80573892953264,68.87805054423632,36.7142106712274,2386.7962923336013,706.6843305966898,546.1115095766168,23.80698663169117,4731.65497246575,14,26.55,,Women-Owned,None,Compostable,Local
32,pharmaceutical,75.92110836028326,485.8199499174727,5.674564588347321,2462.447284707225,209.1882123392812,149.48762572905633,24.947623451876595,1812.5415362188824,14,60.3,,Women-Owned,GreenSeal,Recycled,Local
33,pharmaceutical,150.1252371408522,409.42138624455856,22.00639902833525,4220.452680974245,344.7930579993202,353.07813143406963,57.32651239152037,2891.3335106032646,12,63.73,,Local Vendor,ISO14001,Compostable,National
34,electronics,95.92140876906336,181.7699165154341,2.429318418617959,1184.0696125857137,528.1778740758464,474.3596263968347,38.35007690112839,656.2713767963093,1,61.05,,Minority-Owned,FairTrade,Plastic,International
35,automotive,52.674916358596576,490.9866482114828,24.56361718354744,1966.85724097516,806.6185334473034,797.3571451312471,75.20810849745641,1162.2514292785231,1,61.26,,Minority-Owned,ISO14001,Recycled,National
36,food,95.96350806521174,320.84671533634497,33.45926657335234,4061.1881205790855,752.4957715767908,432.1734938357085,16.230681442720616,2184.6356802087685,12,27.79,,Women-Owned,FairTrade,Plastic,National
37,automotive,36.76283387216198,312.0901961932609,6.806628556309426,4135.755692669971,663.2576385899962,671.2397299800265,45.80679485666451,1189.7730363285386,4,57.9,,Local Vendor,GreenSeal,Plastic,Local
38,food,43.51352743618243,386.6329307432894,15.155362006549115,1984.594272295964,197.98459755116164,402.4470995466324,74.29650713101849,4407.490355785844,5,76.33,,Women-Owned,None,Compostable,Local
39,electronics,104.68987682050115,415.2964046405619,20.49399464960569,2349.707714104736,569.6930783347989,657.4735058337963,73.28795623356535,959.7740290836708,4,69.44,,Women-Owned,ISO14001,Plastic,National
40,apparel,89.59583540586411,345.41537329917617,46.05702020814644,1586.1008651614864,133.07417670989116,516.790361134076,20.957044939101884,2387.1719434548413,7,43.29,,Corporate,None,Compostable,International
41,pharmaceutical,183.820721202939,107.64308586479,49.66949575572524,4669.518904254629,408.49501795681823,720.6168090516788,35.664639006751955,3107.356354207403,3,39.49,,Corporate,ISO14001,Recycled,Local
42,electronics,78.85484083216029,202.22037769752427,3.200653650785177,681.3544521337435,442.8407037754612,387.6597866450769,53.33849800326874,3520.946759172053,7,65.06,,Corporate,FairTrade,Compostable,International
43,pharmaceutical,120.31178655282824,467.6376381467224,38.28938825127421,4675.372172707203,87.82086747346614,523.0130938750352,21.157641933998157,2038.7329746872324,13,48.55,,Minority-Owned,None,Recycled,International
44,apparel,130.13021470471077,151.07702532973337,19.214479253714817,3450.9456139931817,310.2886944964732,541.0130764331791,77.7615520432017,4371.675529878697,8,73.14,,Local Vendor,ISO14001,Compostable,National
45,apparel,12.48794675178339,217.475160726881,20.23045112524452,2704.7035481649827,957.8669939031648,392.1680592603313,74.03245301093622,2927.9319251740426,6,54.33,,Local Vendor,FairTrade,Biodegradable,National
46,electronics,136.072100683175,244.4345973248882,37.95898369400411,260.02939784402975,955.950977438205,201.01843058123703,21.68651253241284,2309.6373461482485,6,22.36,,Local Vendor,None,Biodegradable,National
47,apparel,43.82683370525277,247.73224536250348,46.00289517512503,2430.421339927841,384.7107015399124,165.49158483863488,18.48088228826898,522.7550434497757,8,38.25,,Local Vendor,None,Plastic,National
48,food,192.60336031919647,325.8228121225365,47.59550113062488,2097.965714513388,90.94510350090786,111.67008541974316,15.97859379657857,2430.509448536792,8,41.36,,Corporate,ISO14001,Compostable,Local
49,apparel,38.24591827309146,474.3841269851184,29.27900671587772,889.9721786781005,220.14019236177248,711.4739849716502,73.66105648256418,4139.532035915505,7,70.24,,Minority-Owned,ISO14001,Compostable,Local
50,pharmaceutical,88.7785835081345,158.31172032462723,18.49893680572464,3316.407057153219,422.6069037618631,265.53243856708616,23.553666685682256,3149.7968874623143,6,45.4,,Minority-Owned,ISO14001,Recycled,National
51,pharmaceutical,26.216436934942333,104.67561933541312,39.589905207080186,4858.6394461046,950.3907130707682,248.05472449723763,39.13994499810483,4194.379777899769,6,26.83,,Corporate,FairTrade,Plastic,Local
52,pharmaceutical,199.40610785073,138.86172043697178,13.299067779852711,2854.725174216173,184.13911036032567,615.2247802982458,41.41959559564021,2571.256018876667,10,64.72,,Minority-Owned,ISO14001,Compostable,National
53,pharmaceutical,105.41705196293609,449.1162050941713,28.63962741284237,3602.2910545753343,775.3400514848016,324.01127916117423,51.93077309494973,768.6161844535128,11,49.71,,Corporate,None,Plastic,International
54,food,123.12315329080832,340.6148656948427,18.570344614718785,435.4072175734822,153.24841240595748,454.2312846882856,15.021474062319747,265.47126001222915,13,54.95,,Local Vendor,None,Biodegradable,International
55,automotive,22.74453070380122,178.65805515762207,33.17492261168593,2146.5682795032744,982.194698521713,213.7577457082194,25.873103218036118,1655.4538242492376,13,26.89,,Corporate,ISO14001,Compostable,International
56,electronics,152.49248937584375,417.17612253587777,12.77954673178184,670.1565773060298,412.5356741536782,771.8220050233784,75.20432708432482,3550.354263189404,6,73.01,,Local Vendor,ISO14001,Compostable,National
57,pharmaceutical,49.8820626881613,437.6164983635462,10.388054341006464,3102.699594128901,786.4728119541032,696.1069800120662,73.58870750879987,3993.24753892013,8,61.06,,Local Vendor,GreenSeal,Plastic,International
58,apparel,180.6303149937356,430.9314524106251,45.99371524709642,4698.562575249358,375.4615286705752,704.6527360755023,64.69034531839846,1619.6136061775812,1,59.44,,Women-Owned,None,Compostable,Local
59,pharmaceutical,48.97653169158136,463.5169401377995,5.988380464527308,3342.710889111029,646.2854333008682,384.7416240004037,11.35808719327508,2579.138820239586,5,38.74,,Corporate,FairTrade,Plastic,International
60,apparel,46.230666926096646,163.50845907801272,25.79193747901165,476.3349367406655,232.4152805030349,633.6528495950209,32.89047379472714,2221.370741283592,3,54.71,,Women-Owned,GreenSeal,Compostable,International
61,apparel,16.944436891138025,389.76886793582526,11.821786365187435,1837.8644044269056,188.7199683321144,200.7133087728461,53.95711147400355,2170.5093648868537,12,72.25,,Corporate,ISO14001,Recycled,International
62,pharmaceutical,99.69271957089984,257.242773773363,2.907568202957705,2798.2505592601724,941.1609325897248,106.0333018142462,29.263314824143297,1310.4738233607225,8,42.61,,Corporate,ISO14001,Plastic,Local
63,food,117.31981531989712,428.8993488005277,2.7649220962798933,2075.718005052936,921.7649140092118,113.98105280461968,73.67106865376442,854.5813041414002,11,66.37,,Women-Owned,None,Compostable,National
64,apparel,22.48464149138695,377.82080472272594,9.58586683318554,4184.855651328344,893.0954932022382,510.6212161831923,54.372262328270935,1144.105079509823,6,54.27,,Women-Owned,ISO14001,Biodegradable,Local
65,apparel,157.350247172052,399.4013509248761,43.47174737079401,4091.887923078947,644.1617776582638,418.7764336735585,15.033470212151192,465.59545838406126,14,29.87,,Corporate,FairTrade,Compostable,National
66,pharmaceutical,96.12487860212524,345.27282695648216,14.841458454874306,3097.971998505785,817.8548006554644,462.6107442359638,73.63039121849921,1151.0275607531698,2,64.04,,Minority-Owned,None,Biodegradable,National
67,apparel,109.6341511722402,129.8429462613681,47.57249935818949,1929.943931150256,115.58509006580616,105.2241982920536,77.04366607233558,244.1643086018214,13,75.54,,Local Vendor,ISO14001,Biodegradable,International
68,apparel,93.74492191826334,295.26211350362223,29.499492356470483,1351.1482314398963,368.0495897961452,395.880633760198,15.439869287420784,3210.840323052696,7,38.46,,Women-Owned,None,Recycled,National
69,pharmaceutical,86.14498156631194,493.1013827860287,22.394095298669537,618.7841592443336,348.0179685192984,602.6477128406026,47.26521644029204,1718.601955460878,7,60.8,,Local Vendor,ISO14001,Plastic,Local
70,pharmaceutical,116.3316629485614,471.8246299237035,29.424352898803274,1838.9986490841147,653.8630558549826,409.8855913772051,31.23549975499193,4871.094614849161,13,34.49,,Minority-Owned,ISO14001,Compostable,Local
71,electronics,39.495646726835375,69.42818110865525,26.31822087608712,2124.5453343178256,388.1598847971085,612.5534444185556,37.498735353698166,1129.84184372623,5,54.32,,Minority-Owned,ISO14001,Recycled,National
72,food,44.56634479410151,124.1666670782467,38.180036434108935,3411.5323330099604,191.0814425614968,263.11327507778435,22.57558525687393,1859.9771374860509,8,46.56,,Minority-Owned,FairTrade,Compostable,International
73,food,173.73926799256827,109.27794805455288,14.84230723266976,3324.98313905811,616.6437216428666,669.1994031372078,50.46504714086888,1917.6375614793596,14,56.96,,Women-Owned,FairTrade,Biodegradable,International
74,apparel,189.76193780539023,376.690959493383,18.299469188414815,443.529884242159,823.6647246356274,511.9018683174166,77.05855472742235,240.5671810998106,5,66.02,,Minority-Owned,None,Plastic,Local
75,food,80.92877009315306,418.0033984356253,44.81062082412929,2036.7706456126728,413.0173197369745,247.53416960093435,45.21508201901264,4228.198174589403,1,43.84,,Women-Owned,ISO14001,Compostable,International
76,apparel,61.441487897275216,146.08011483980238,47.37636914436987,990.7164493650732,175.65527934355762,265.70433309768305,15.80402069761368,353.5734086927587,9,42.97,,Minority-Owned,ISO14001,Compostable,National
77,electronics,132.35991321541297,277.63371182832304,44.73535314683725,868.3822560523479,236.8537874471819,539.621325198676,53.40009334341859,4712.863206700358,4,52.27,,Local Vendor,FairTrade,Biodegradable,National
78,pharmaceutical,87.65949250863832,428.31636260504,21.552951703908366,4153.780533712505,275.6091399109148,680.9577152487103,33.81560961158799,4481.956885249379,13,51.05,,Local Vendor,ISO14001,Compostable,Local
79,pharmaceutical,14.823407575465524,379.7606951448128,39.2379096473372,305.3845619096619,334.9027133448094,390.9394474204086,69.91476327139085,2770.5051972126253,2,63.67,,Corporate,FairTrade,Compostable,National
80,pharmaceutical,39.66899349957617,294.00674247133173,24.340450931753843,2153.9960919203945,660.6553169809937,280.81030038931453,40.42747038215292,2809.258759574202,4,45.04,,Local Vendor,ISO14001,Biodegradable,Local
81,food,146.03472348100553,315.6564607064478,25.379452755159008,924.1979132559392,620.8982103108331,706.9081248374202,23.498772625957194,3338.1340301895502,14,36.29,,Corporate,None,Recycled,National
82,electronics,135.19554896292874,278.762246112326,11.029325343806914,4408.718056824523,711.2758684886873,568.4878042255845,23.377393588380144,2057.840057287457,13,41.82,,Local Vendor,ISO14001,Biodegradable,Local
83,food,15.148238575661864,183.8968030934693,29.965384859667303,2829.4985150476723,394.3768853049375,413.6598410981536,63.81349265048122,3306.666960309706,9,61.48,,Women-Owned,ISO14001,Recycled,International
84,food,52.17471076726039,304.25989678655725,10.120658989914048,1233.7651182465554,832.7977692859794,441.53013669551126,28.591131881515192,414.88826570473697,2,44.43,,Local Vendor,GreenSeal,Plastic,National
85,electronics,53.904211351733565,359.9983859225408,17.246670254292496,2561.8937071152445,243.8832780979723,242.9795275554775,63.70633759114561,459.4286112786875,4,76.72,,Corporate,FairTrade,Recycled,National
86,electronics,137.65962128375838,442.9953121373634,42.89647987937682,3684.283162545268,495.5887101422463,538.7618410453908,24.41211175366196,2394.706014173813,2,35.39,,Corporate,ISO14001,Recycled,Local
87,electronics,13.74500217332919,336.33110929066163,11.146714651331903,4794.778243705226,810.8917854643588,351.11975738002207,32.51804580909166,2838.187045308968,5,41.8,,Minority-Owned,ISO14001,Plastic,Local
88,electronics,29.78063057706903,392.5046916694211,4.486755973498208,1180.1854208025527,221.1507153459883,796.9516236720444,42.58408807077896,4461.524673611932,3,63.94,,Women-Owned,GreenSeal,Recycled,National
89,pharmaceutical,161.98405622090598,122.03223572955784,4.381372038027999,4442.290683433791,154.3699580537438,436.1284606833215,76.02370947854155,702.371042757902,10,90.22,,Local Vendor,GreenSeal,Biodegradable,Local
90,automotive,43.92348579032338,257.70086348890544,47.098441504652286,4678.090159420703,889.4997693035903,440.1199243327292,75.22119973276773,4148.710050530669,2,43.79,,Minority-Owned,FairTrade,Recycled,National
91,automotive,134.02176049185618,54.19922892219199,25.839101460129896,4590.460668207124,375.7831796212361,496.09625118747033,24.481031279560145,1208.227219001934,14,48.21,,Local Vendor,GreenSeal,Plastic,International
92,electronics,55.25472839887804,161.00548903473037,21.061191519033898,3213.5303486233583,699.6766186635804,741.7292021831227,35.075332887015094,2091.601512848153,9,43.94,,Local Vendor,None,Biodegradable,Local
93,automotive,28.89386462427558,376.9077718008522,40.733050469388,3186.121206730068,74.08117405074155,660.5726699018252,20.457957191764063,1719.691687171582,5,48.27,,Minority-Owned,GreenSeal,Plastic,National
94,automotive,56.20271628989627,496.3144781072136,41.955470467615285,2075.732102600732,705.5445439889771,415.791048858489,45.6989555519448,2120.745309753915,10,40.66,,Minority-Owned,None,Plastic,International
95,electronics,147.23071705257524,94.63014481424716,17.277360622664627,3786.749623288561,350.296245969622,603.0894861809572,42.24077854862666,922.3783907484108,5,61.86,,Minority-Owned,FairTrade,Compostable,International
96,automotive,172.5823289401943,230.6724421375797,34.98728481621597,2703.3406899195666,102.95381090806966,510.3648491465332,73.05321137155127,2617.136357137064,1,74.21,,Minority-Owned,FairTrade,Compostable,National
97,food,167.7417742677284,410.0319359146218,38.785017976742445,3419.446549018643,629.3221234707112,444.65693409087424,75.10037644537508,4047.8844311905623,6,55.06,,Minority-Owned,FairTrade,Plastic,Local
98,apparel,85.46487062750641,141.81603558300446,33.07788365643177,2199.443728859097,278.7636252695146,234.62104094904535,36.84971737051045,2319.3632498187053,13,52.19,,Local Vendor,FairTrade,Plastic,National
99,apparel,136.93617594842277,299.78822718602885,8.428158665204869,3684.3326738113815,417.466879949286,424.75538441842366,44.42165601132926,2554.945164311356,7,61.21,,Minority-Owned,FairTrade,Plastic,International
100,electronics,48.94701612900599,379.88208321335367,43.91827109233579,4139.91043626229,126.55177167218793,272.07301091580223,72.73653744022931,4274.084409350308,1,66.46,,Women-Owned,None,Compostable,National
101,pharmaceutical,65.69806874959252,327.19345261708054,27.415633084064428,817.537657353799,189.80508854019808,740.3895048961583,66.4695465421543,3589.078950262548,9,69.4,,Corporate,None,Compostable,Local
102,electronics,180.3038055190128,134.61113057693726,14.841148892130182,4181.355606313717,333.07837372105155,334.78476944744284,10.25594179412545,2554.1811608949665,8,44.09,,Minority-Owned,FairTrade,Recycled,International
103,pharmaceutical,12.470365467039848,209.92305590858277,21.836181086447,2747.453005772505,135.27152553214927,766.5848101733606,32.40416949285078,1436.9391113080624,12,60.54,,Minority-Owned,GreenSeal,Recycled,National
104,apparel,26.246620862348934,402.7063030184288,2.840983429546461,4238.862954542099,915.2849514519996,473.13870306629786,39.52419693552881,4447.64838485584,14,42.27,,Local Vendor,ISO14001,Plastic,Local
105,electronics,49.49838847774519,299.4019313594075,7.26547325989846,2213.378361070972,55.7446910247795,542.0810650733122,26.08013985782622,2969.69792811468,14,62.52,,Minority-Owned,FairTrade,Biodegradable,International
106,food,15.041118736025746,52.35332609431073,38.511790775277184,1957.298378376872,509.66720792109584,480.0583111425294,23.970013112715712,1261.5085285313282,8,38.77,,Minority-Owned,GreenSeal,Biodegradable,Local
107,automotive,44.47273266706149,392.44584201264223,1.000570103012941,4583.79758933439,167.08508522592388,190.5664318766906,12.644915461697575,1491.7748126624497,7,57.93,,Minority-Owned,ISO14001,Compostable,International
108,pharmaceutical,120.77789658424152,65.89010972310759,21.41172559563232,1330.7294109871664,342.2951350040511,363.0748533055587,55.03588075488324,4055.038826893981,5,60.57,,Local Vendor,FairTrade,Compostable,National
109,automotive,90.0706646125746,385.58020222905446,26.602998873193837,4236.640393902101,929.7565818273522,169.40227859433674,28.3757203338216,411.8986980197862,3,34.83,,Minority-Owned,FairTrade,Compostable,Local
110,automotive,179.6076251046252,141.11625207435685,3.6770865800476416,2471.70080529608,203.60982561028752,536.0678309283672,13.664302490191917,4962.042497738336,12,49.33,,Corporate,None,Plastic,International
111,electronics,165.31427673030376,481.1330660537211,48.68082998564431,2619.0676685011726,967.540703732416,412.8119366403072,26.168551736964456,825.6880626310005,14,22.93,,Local Vendor,ISO14001,Biodegradable,Local
112,automotive,74.94529682259643,215.573338085938,12.080141231233926,1611.4945792984718,245.50465813995064,644.5894800996558,66.13397669852885,4021.1289219053,9,72.83,,Corporate,ISO14001,Recycled,Local
113,food,59.290452351945575,197.1192273521356,15.905737262177762,2907.906783033177,754.487803043488,254.3293366995589,69.60424271525827,2094.9215205040778,14,61.62,,Local Vendor,GreenSeal,Plastic,National
114,automotive,82.1415575517807,116.9996226496001,15.89318310049634,1693.5348617534355,569.3434016524461,215.19624090053443,43.81463716353119,2562.6376797798407,7,53.34,,Minority-Owned,None,Recycled,Local
115,electronics,122.15603907781347,187.52189697059669,12.290416443750145,292.42012978409633,890.2547912169211,384.43256167463744,39.12494692860803,4427.122771829973,11,39.08,,Corporate,None,Recycled,International
116,food,60.93209175634649,444.4928428226903,1.0722172822292593,1432.7931661873447,576.2935927279744,748.6097682528668,78.44975854512472,2181.973710028224,10,77.14,,Local Vendor,None,Plastic,International
117,apparel,128.5882924913355,498.3504519322613,36.73789491031182,131.2573126922943,557.8312581984933,597.2952705086882,24.03952617116489,2779.970017631525,10,35.03,,Women-Owned,None,Recycled,International
118,automotive,87.78821391633568,215.73928872808176,48.37542949016498,4893.938456578598,235.6851003499799,393.2465373550431,25.075149799822597,436.6383795640157,8,45.24,,Minority-Owned,ISO14001,Biodegradable,International
119,electronics,114.88896436187623,251.87478392954412,11.990380680967208,4832.161328116763,207.9178939490758,462.09051882801737,30.430702392547985,211.26787456377517,14,63.76,,Local Vendor,ISO14001,Recycled,National
120,apparel,92.86404053571016,374.9319221912317,33.4893123983677,2036.2609576142947,920.6646935597385,158.94910782396883,22.09301227967611,1375.0393904082844,6,27.28,,Women-Owned,FairTrade,Biodegradable,Local
121,apparel,65.94849431296436,448.7881012092835,37.35292002097704,3669.0171862642655,361.4462889075324,789.2031274632792,36.55559187429306,3466.798846010083,12,45.56,,Local Vendor,FairTrade,Biodegradable,National
122,pharmaceutical,190.20612832280975,316.86995038405286,42.57284357543571,1794.4498822110825,403.47814221475113,566.4851132864433,73.75839588928277,782.0714881238562,14,66.18,,Women-Owned,None,Biodegradable,Local
123,food,155.08510089035457,226.1865641800232,21.708830653666848,3388.356469721283,771.832475506969,299.7828479243957,53.0743488440002,746.0574022618372,11,53.21,,Minority-Owned,None,Compostable,Local
124,automotive,36.62150339562598,235.6798283818807,15.843614376381034,4046.6072109252977,371.88230830166697,510.0658759506711,38.836258402858455,2172.610918572336,14,57.58,,Corporate,None,Recycled,Local
125,electronics,175.00891542060344,363.0281659235631,16.939461567128525,4739.10559899198,954.4593243070526,176.6376562482958,75.40875561998503,3309.617785319487,5,55.68,,Women-Owned,FairTrade,Plastic,National
126,pharmaceutical,102.6119276674076,51.448218621925406,35.91844532182713,2061.040151663393,751.0313805488603,776.0856681653084,13.392496273307565,3617.9455627900666,8,22.56,,Local Vendor,GreenSeal,Plastic,Local
127,food,179.96492310987736,328.8152018569283,41.02219385877616,3938.160116484634,617.557780444749,222.34949151835616,24.719332453130296,1056.563235672199,3,35.31,,Minority-Owned,GreenSeal,Recycled,National
128,pharmaceutical,161.9724986299899,209.97185469861083,9.89908442007353,1403.049408097382,886.8504025175149,553.6212226386499,49.61220235712313,582.0231073858038,12,53.08,,Women-Owned,FairTrade,Compostable,International
129,food,90.79056584915436,407.388799074688,19.176109399730496,4952.628288588877,97.1256129320086,271.81812377725134,53.08868362352254,4713.9057629386125,13,66.53,,Local Vendor,FairTrade,Compostable,International
130,food,14.269168580822306,91.84578792040946,45.195069640708354,226.2710339453206,294.2095575797483,602.292967853975,12.76902545938292,1451.1986362980883,13,36.58,,Local Vendor,FairTrade,Biodegradable,Local
131,automotive,61.04869828313976,314.6910201267757,40.52798246504222,3057.2911518554924,491.7845175098644,643.7749570681967,38.21271305349925,4296.0631885218745,7,39.55,,Local Vendor,FairTrade,Recycled,National
132,food,112.91050078556472,266.4378004487557,49.25806173536132,3331.579310091503,265.629612497945,571.3938102380029,55.44077753816109,4344.758962221527,2,51.36,,Women-Owned,FairTrade,Recycled,International
133,pharmaceutical,130.360861766968,339.0464866573523,37.95816472442196,3471.4232296632317,756.7099279370443,530.1496221786348,58.86493824823811,3908.108440460213,3,43.73,,Women-Owned,FairTrade,Plastic,National
134,food,58.99866023230843,79.18411751733575,20.26656485036819,689.8991360665361,923.2476295010388,724.7283657664082,54.66979317613885,1010.4013119323364,13,49.51,,Women-Owned,None,Recycled,National
135,automotive,36.47765407383659,310.99270434265907,29.94125386573725,4698.795939018339,452.5816139343772,155.03869769283062,32.43942570526472,4144.6470044201615,12,42.38,,Corporate,None,Compostable,Local
136,automotive,168.63674499186683,302.66806458178564,33.389698458118694,987.7980673454056,375.0259701063002,331.64033604613667,16.546408651853667,3892.402684359616,2,35.88,,Women-Owned,None,Recycled,International
137,pharmaceutical,197.0364143336749,302.29704248727694,4.844334999539074,3151.491675875221,963.473195530688,273.80123574159217,39.897871249353386,3064.2703525098423,5,42.98,,Women-Owned,None,Plastic,Local
138,apparel,109.88113463751031,321.5694499684047,27.680350996089388,1191.1127877031165,472.60981118616377,791.6097734457951,19.012810615763883,1818.5697688109733,7,40.62,,Women-Owned,FairTrade,Biodegradable,Local
139,apparel,42.61906431117767,354.410571751863,35.75672059515787,1605.3604434042277,514.5959804268191,372.5728457668114,76.3336560964467,1460.0413004794116,11,65.51,,Corporate,GreenSeal,Plastic,International
